"가해자연령층별(1)","월별(1)",2013,2013,2013,2014,2014,2014,2015,2015,2015,2016,2016,2016,2017,2017,2017,2018,2018,2018,2019,2019,2019,2020,2020,2020,2021,2021,2021,2022,2022,2022
"가해자연령층별(1)","월별(1)",사고건수 (건),사망자수 (명),부상자수 (명),사고건수 (건),사망자수 (명),부상자수 (명),사고건수 (건),사망자수 (명),부상자수 (명),사고건수 (건),사망자수 (명),부상자수 (명),사고건수 (건),사망자수 (명),부상자수 (명),사고건수 (건),사망자수 (명),부상자수 (명),사고건수 (건),사망자수 (명),부상자수 (명),사고건수 (건),사망자수 (명),부상자수 (명),사고건수 (건),사망자수 (명),부상자수 (명),사고건수 (건),사망자수 (명),부상자수 (명)
"20세이하","전체",8020,162,11538,9079,170,12461,9646,154,13440,9006,146,12595,8175,124,11418,6654,97,9420,7231,95,10488,7099,103,10346,6960,85,9826,6508,72,8863
"20세이하","1월",432,14,646,475,5,720,496,12,711,588,16,846,491,3,717,384,3,605,423,10,593,452,5,652,363,4,509,435,6,633
"20세이하","2월",408,9,627,493,16,705,500,13,737,523,7,752,477,11,655,394,4,608,405,6,606,480,6,728,422,11,589,357,2,505
"20세이하","3월",592,13,879,663,10,928,684,8,970,669,15,923,614,7,842,507,6,709,569,13,829,521,8,797,570,1,816,473,3,678
"20세이하","4월",690,12,1005,798,15,1093,758,14,1049,822,12,1138,684,9,921,650,15,897,595,11,870,612,5,900,683,11,967,580,7,810
"20세이하","5월",831,13,1210,997,18,1364,951,13,1312,902,7,1226,796,14,1108,630,11,861,714,9,1013,644,9,952,669,6,966,713,6,955
"20세이하","6월",838,20,1166,902,20,1203,903,19,1246,819,11,1084,801,13,1107,711,11,1014,722,5,1017,644,14,950,666,7,889,668,5,877
"20세이하","7월",750,13,1076,907,12,1237,1036,10,1443,928,8,1344,785,10,1074,611,5,879,706,6,1033,709,5,1006,687,9,1024,639,6,847
"20세이하","8월",830,16,1189,923,13,1271,972,19,1366,839,12,1214,737,10,1059,644,6,943,649,3,942,596,6,891,648,5,948,557,7,735
"20세이하","9월",696,12,994,849,21,1125,946,12,1293,770,20,1064,843,16,1158,590,12,798,634,6,887,640,13,878,632,8,887,609,8,808
"20세이하","10월",763,20,1055,804,20,1067,932,13,1277,840,7,1142,747,11,1042,560,13,790,675,9,989,689,16,995,619,11,853,618,8,805
"20세이하","11월",677,12,985,751,12,1021,774,9,1056,668,23,899,655,8,909,541,9,725,645,11,950,578,11,845,534,7,725,532,8,724
"20세이하","12월",513,8,706,517,8,727,694,12,980,638,8,963,545,12,826,432,2,591,494,6,759,534,5,752,467,5,653,327,6,486
"21-30세","전체",29221,696,46785,29530,582,46250,30986,592,48885,29797,522,46405,29254,504,45418,28727,420,44204,30631,376,47618,29775,385,45135,29076,360,42889,26904,335,39706
"21-30세","1월",2209,51,3612,2164,46,3463,2243,47,3565,2364,47,3714,2316,34,3731,2200,33,3384,2177,31,3273,2260,26,3574,2185,26,3257,2307,31,3470
"21-30세","2월",2011,44,3375,1855,31,3000,1957,50,3100,2102,37,3349,2034,33,3195,2101,33,3383,2012,30,3242,2315,29,3515,2094,20,3084,1787,22,2614
"21-30세","3월",2366,53,3713,2434,51,3833,2416,50,3800,2377,40,3612,2346,41,3598,2202,43,3400,2439,19,3786,2120,40,3193,2355,23,3490,1950,26,2793
"21-30세","4월",2443,61,3967,2427,42,3714,2545,49,4042,2648,43,4118,2408,29,3763,2354,34,3680,2548,29,3981,2238,23,3481,2497,27,3705,2310,16,3460
"21-30세","5월",2760,56,4283,2665,44,4247,2810,49,4443,2702,51,4178,2436,42,3688,2509,28,3877,2850,35,4489,2570,36,3949,2506,33,3772,2503,29,3719
"21-30세","6월",2510,56,3995,2474,39,3938,2566,53,4007,2416,38,3703,2427,42,3698,2448,25,3702,2551,27,3936,2700,32,4054,2542,32,3792,2182,29,3209
"21-30세","7월",2642,70,4288,2786,54,4227,2796,59,4425,2583,45,4074,2617,55,4119,2481,36,3751,2588,23,4011,2728,31,4100,2597,27,3801,2368,32,3546
"21-30세","8월",2591,51,4304,2772,41,4545,2833,63,4540,2490,30,4026,2514,46,3885,2523,46,3985,2741,30,4273,2582,36,3937,2451,39,3660,2322,30,3382
"21-30세","9월",2398,63,3730,2450,59,3805,2783,31,4304,2463,50,3774,2642,43,4066,2441,43,3758,2527,35,3996,2555,38,3780,2361,33,3479,2276,28,3419
"21-30세","10월",2561,64,4038,2689,68,4122,2750,46,4364,2655,47,4115,2527,56,3932,2513,41,3743,2883,44,4463,2760,34,4216,2549,37,3740,2376,38,3442
"21-30세","11월",2442,59,3828,2482,55,3746,2800,52,4367,2524,43,3866,2533,44,3893,2495,24,3796,2760,35,4254,2575,32,3899,2445,34,3552,2228,26,3209
"21-30세","12월",2288,68,3652,2332,52,3610,2487,43,3928,2473,51,3876,2454,39,3850,2460,34,3745,2555,38,3914,2372,28,3437,2494,29,3557,2295,28,3443
"31-40세","전체",38718,877,59626,38435,757,58920,38681,674,59571,35900,583,54777,34179,586,52095,33618,511,50796,34978,429,52847,31606,383,46922,30304,350,44276,28402,317,41287
"31-40세","1월",3018,70,4770,2859,68,4423,2996,76,4640,2904,49,4656,2800,61,4347,2720,53,4186,2649,31,3949,2620,46,3969,2461,20,3550,2336,28,3418
"31-40세","2월",2623,60,4135,2488,52,3806,2534,39,3942,2619,43,4065,2394,39,3718,2585,40,3995,2343,35,3667,2580,33,3805,2218,23,3351,2001,30,2903
"31-40세","3월",3269,80,4978,3294,55,5022,3211,57,4894,3039,44,4658,2717,53,3951,2661,40,3999,2769,35,4229,2346,33,3516,2466,21,3640,1969,19,2820
"31-40세","4월",3354,67,5257,3245,68,4931,3322,40,5071,3273,46,5019,2800,45,4253,2843,44,4263,2946,42,4436,2478,29,3634,2555,34,3807,2409,29,3534
"31-40세","5월",3600,75,5545,3540,65,5286,3355,57,5221,3096,44,4707,2974,45,4502,2894,36,4298,3170,37,4863,2730,25,4141,2626,31,3789,2525,26,3613
"31-40세","6월",3195,75,4806,3083,50,4694,3056,54,4603,2879,42,4310,2765,39,4128,2697,39,3926,2855,35,4376,2858,31,4283,2649,25,3866,2341,22,3446
"31-40세","7월",3252,78,5000,3342,60,5126,3504,42,5231,3034,56,4529,2790,59,4387,2861,41,4387,2881,27,4247,2738,35,4048,2651,23,3840,2463,22,3615
"31-40세","8월",3307,65,5292,3362,49,5297,3217,54,5102,2936,33,4463,2954,41,4511,2822,53,4249,2983,24,4602,2604,30,3963,2388,36,3440,2330,30,3428
"31-40세","9월",3142,73,4736,3109,71,4849,3323,66,5171,2732,48,4156,3016,60,4632,2826,45,4444,3042,39,4632,2671,34,3836,2402,33,3558,2268,25,3285
"31-40세","10월",3350,74,4984,3467,60,5329,3465,74,5338,3078,66,4703,2892,46,4455,2921,43,4310,3165,40,4698,2783,32,4171,2664,40,3924,2589,32,3750
"31-40세","11월",3465,80,5218,3330,74,5081,3464,44,5344,3176,56,4778,3081,45,4719,2906,36,4382,3228,35,4761,2733,23,4069,2667,33,3824,2489,23,3579
"31-40세","12월",3143,80,4905,3316,85,5076,3234,71,5014,3134,56,4733,2996,53,4492,2882,41,4357,2947,49,4387,2465,32,3487,2557,31,3687,2682,31,3896
"41-50세","전체",52141,1147,80737,52274,1027,79786,52033,967,79273,47219,898,71492,43668,739,65790,42204,636,63137,43769,584,65421,38036,494,55737,36480,494,52592,33915,409,48389
"41-50세","1월",4075,92,6441,3939,91,6055,4087,93,6249,3836,69,6040,3561,75,5555,3438,52,5139,3313,59,4971,3057,41,4586,2780,37,3946,2939,33,4156
"41-50세","2월",3553,93,5650,3374,69,5283,3535,71,5528,3488,67,5484,3118,58,4670,3171,49,4805,2871,34,4442,3080,47,4489,2630,34,3837,2197,20,3086
"41-50세","3월",4407,96,6850,4435,73,6740,4239,74,6376,3913,67,5822,3521,56,5217,3289,52,4825,3558,50,5210,2762,35,4013,2883,39,4155,2391,27,3302
"41-50세","4월",4443,72,6844,4274,71,6394,4365,79,6749,4220,79,6312,3596,49,5522,3631,54,5372,3673,45,5474,3006,39,4461,3214,31,4665,2805,29,4013
"41-50세","5월",4706,84,7310,4681,82,7219,4597,76,7041,4049,68,6022,3639,54,5446,3623,50,5389,3978,47,6027,3256,40,4735,3159,38,4616,3096,34,4321
"41-50세","6월",4393,97,6687,4205,80,6419,4220,94,6180,3795,55,5724,3637,54,5318,3508,41,5232,3573,47,5316,3391,47,5060,3103,44,4413,2760,37,3878
"41-50세","7월",4313,98,6829,4494,85,6857,4384,59,6716,4081,74,6180,3641,52,5501,3577,52,5395,3671,45,5461,3281,38,4847,3236,55,4700,2930,44,4296
"41-50세","8월",4365,95,6784,4497,74,7132,4251,78,6615,3776,73,5711,3715,51,5749,3504,66,5443,3672,52,5651,3173,48,4777,2888,40,4205,2776,30,4056
"41-50세","9월",4216,92,6596,4420,98,6744,4461,67,6735,3755,71,5748,3949,74,5869,3506,48,5231,3643,47,5356,3239,41,4684,2978,36,4265,2900,37,4255
"41-50세","10월",4681,105,6976,4765,106,7173,4704,95,7140,4107,102,6208,3679,75,5678,3823,68,5702,4069,50,5984,3426,43,5013,3305,50,4737,3083,38,4543
"41-50세","11월",4642,117,6972,4604,105,6878,4838,96,7400,4030,85,6011,3883,73,5730,3636,42,5341,3982,51,5870,3345,48,4795,3199,42,4567,2994,43,4182
"41-50세","12월",4347,106,6798,4586,93,6892,4352,85,6544,4169,88,6230,3729,68,5535,3498,62,5263,3766,57,5659,3020,27,4277,3105,48,4486,3044,37,4301
"51-60세","전체",51415,1169,79272,54719,1163,83993,57762,1090,87958,54299,1045,82272,53412,1066,80072,53631,940,80116,55814,790,83076,50421,715,73703,46938,639,67268,44581,570,63632
"51-60세","1월",3900,85,6236,3842,112,5880,4208,72,6627,4368,80,6683,4253,87,6609,4345,86,6452,4017,73,5833,4218,58,6352,3537,51,5070,3683,40,5243
"51-60세","2월",3371,86,5204,3409,74,5247,3818,59,5908,3946,82,6069,3701,73,5514,4121,71,6290,3570,44,5484,3961,50,5688,3411,50,5059,2849,34,4085
"51-60세","3월",4104,88,6233,4449,92,6697,4623,93,6958,4440,77,6543,4149,67,6230,4258,70,6222,4493,60,6792,3608,61,5252,3979,46,5754,3191,37,4345
"51-60세","4월",4261,97,6678,4508,84,6736,4872,90,7451,4641,89,7060,4338,73,6475,4292,68,6429,4657,57,6912,3874,45,5666,4096,56,5791,3772,56,5385
"51-60세","5월",4516,104,6727,4825,95,7419,4928,85,7549,4820,79,7314,4558,93,6769,4498,77,6878,4912,78,7291,4416,56,6568,3899,52,5603,3989,47,5745
"51-60세","6월",4306,96,6674,4575,92,6955,4587,80,6823,4355,74,6504,4332,80,6425,4390,60,6484,4654,74,7052,4555,53,6609,4021,39,5805,3733,50,5266
"51-60세","7월",4441,104,6885,4739,103,7313,4894,92,7501,4511,82,6935,4467,82,6682,4701,63,7211,4660,57,6870,4359,49,6573,4132,45,5920,3747,49,5414
"51-60세","8월",4442,79,7084,4648,101,7471,4885,91,7661,4484,77,6994,4632,91,7119,4436,86,6669,4841,63,7381,4225,70,6273,3744,45,5430,3677,44,5400
"51-60세","9월",4224,91,6462,4828,97,7512,5106,92,7796,4342,93,6564,4901,94,7261,4504,83,6775,4560,55,6779,4372,78,6235,3939,53,5508,3872,61,5485
"51-60세","10월",4825,111,7441,5145,102,7950,5591,122,8372,4951,109,7443,4643,121,7115,4971,98,7273,5255,88,7750,4492,75,6673,4099,62,5903,4156,53,6083
"51-60세","11월",4728,107,7113,4957,116,7443,5327,108,7942,4818,90,7212,4878,106,7113,4664,88,6932,5339,62,7801,4351,66,6216,4252,72,6106,4001,52,5554
"51-60세","12월",4297,121,6535,4794,95,7370,4923,106,7370,4623,113,6951,4560,99,6760,4451,90,6501,4856,79,7131,3990,54,5598,3829,68,5319,3911,47,5627
"61-64세","전체",11588,287,17457,12627,291,19220,13887,325,20806,15305,338,22989,16375,317,24359,18095,330,27142,19847,305,29513,18175,281,26237,18578,278,26776,19160,297,27566
"61-64세","1월",819,31,1211,865,17,1360,993,33,1426,1049,23,1619,1285,27,1923,1417,24,2088,1373,25,2062,1529,29,2298,1291,19,1842,1494,19,2178
"61-64세","2월",731,15,1116,819,24,1202,821,15,1282,1011,18,1517,1099,24,1737,1328,27,2019,1317,20,1889,1407,17,1988,1320,16,1900,1112,16,1578
"61-64세","3월",910,26,1353,1051,27,1660,1163,25,1728,1177,14,1758,1338,16,1972,1442,33,2108,1490,20,2121,1262,14,1812,1525,25,2175,1211,23,1658
"61-64세","4월",918,19,1403,1000,12,1441,1130,24,1766,1313,20,1996,1386,26,2109,1458,31,2128,1635,29,2455,1394,21,2031,1501,13,2183,1535,20,2309
"61-64세","5월",1029,18,1537,1070,17,1636,1210,26,1878,1320,18,2007,1359,25,1906,1510,21,2289,1788,32,2666,1554,21,2235,1616,27,2371,1735,23,2503
"61-64세","6월",986,21,1484,1041,20,1597,1058,21,1520,1295,32,1929,1412,29,2097,1556,23,2386,1632,25,2421,1704,15,2484,1590,11,2406,1691,29,2432
"61-64세","7월",986,18,1506,1071,25,1638,1200,27,1762,1289,31,1956,1343,34,2059,1550,28,2334,1673,22,2522,1549,26,2289,1671,22,2414,1705,24,2472
"61-64세","8월",1043,29,1587,1080,25,1724,1209,23,1818,1343,40,2057,1374,23,1981,1509,33,2328,1761,16,2637,1552,31,2307,1481,28,2163,1681,29,2477
"61-64세","9월",971,22,1472,1139,26,1684,1345,35,2024,1311,32,1982,1504,32,2250,1522,30,2372,1693,32,2589,1550,36,2185,1600,29,2281,1751,27,2464
"61-64세","10월",1108,33,1652,1266,40,1922,1299,36,1956,1447,36,2138,1413,28,2139,1749,29,2595,1910,24,2809,1657,25,2359,1668,32,2378,1855,43,2679
"61-64세","11월",1140,34,1719,1165,33,1732,1279,29,1909,1401,44,2108,1478,27,2168,1618,28,2396,1878,34,2796,1632,24,2343,1730,29,2492,1703,27,2430
"61-64세","12월",947,21,1417,1060,25,1624,1180,31,1737,1349,30,1922,1384,26,2018,1436,23,2099,1697,26,2546,1385,22,1906,1585,27,2171,1687,17,2386
"65-70세","전체",10500,357,15746,11758,330,17640,13062,356,19653,13773,304,20665,15096,373,22173,16650,369,24592,18213,308,26965,17087,307,24730,17594,328,25014,19399,349,27792
"65-70세","1월",669,30,987,814,33,1206,859,25,1303,939,22,1428,1096,32,1639,1268,27,1937,1312,34,1895,1409,32,2129,1210,22,1718,1395,17,1973
"65-70세","2월",669,17,1073,802,27,1199,828,22,1286,958,17,1456,978,21,1444,1263,20,1872,1110,15,1704,1222,20,1684,1220,19,1728,1042,14,1478
"65-70세","3월",805,22,1203,887,19,1324,1036,40,1548,1086,16,1650,1080,25,1565,1285,27,1867,1343,26,1951,1174,18,1683,1430,24,2048,1234,26,1660
"65-70세","4월",849,32,1253,958,28,1418,1082,24,1578,1166,23,1745,1237,26,1774,1319,19,1910,1501,31,2229,1283,20,1872,1508,21,2187,1554,26,2229
"65-70세","5월",938,31,1391,1041,26,1609,1220,34,1869,1253,40,1859,1275,43,1910,1467,37,2224,1651,21,2470,1452,28,2098,1468,32,2072,1792,27,2613
"65-70세","6월",903,23,1347,976,20,1390,999,19,1474,1122,24,1720,1267,22,1923,1315,32,1861,1452,23,2130,1554,34,2268,1513,32,2148,1633,25,2339
"65-70세","7월",929,30,1367,990,26,1485,1068,29,1536,1163,19,1793,1223,31,1803,1435,47,2141,1472,23,2125,1457,22,2139,1530,24,2196,1724,34,2512
"65-70세","8월",907,40,1392,1004,28,1516,1091,27,1660,1222,25,1828,1353,38,1964,1421,33,2144,1626,24,2505,1444,32,2131,1395,22,1997,1614,38,2333
"65-70세","9월",921,33,1352,1087,28,1634,1300,37,1987,1148,26,1721,1457,35,2070,1440,35,2228,1587,29,2303,1502,24,2087,1539,28,2235,1777,32,2528
"65-70세","10월",1095,46,1596,1170,35,1754,1275,38,1935,1278,23,1815,1436,33,2227,1526,33,2211,1732,33,2590,1705,34,2434,1670,36,2397,1960,31,2816
"65-70세","11월",1007,30,1529,1120,35,1751,1196,31,1820,1232,35,1801,1396,34,2011,1498,28,2169,1815,31,2695,1625,24,2395,1630,35,2278,1945,37,2769
"65-70세","12월",808,23,1256,909,25,1354,1108,30,1657,1206,34,1849,1298,33,1843,1413,31,2028,1612,18,2368,1260,19,1810,1481,33,2010,1729,42,2542
"71세이상","전체",7090,380,9988,8517,433,11780,10001,459,14134,10656,455,15022,11617,475,16454,13362,474,18877,15026,461,21258,13985,413,19539,14247,381,19699,15253,386,21489
"71세이상","1월",368,16,561,501,16,723,585,23,877,647,30,917,778,34,1125,885,26,1209,983,33,1364,1118,40,1527,838,18,1163,1074,19,1453
"71세이상","2월",397,9,581,435,31,626,582,27,806,664,20,930,740,21,1065,906,31,1275,860,19,1269,945,20,1327,960,30,1355,845,23,1148
"71세이상","3월",485,30,660,652,31,866,770,31,1117,847,37,1212,910,30,1269,1057,39,1525,1156,29,1629,923,30,1285,1181,30,1618,1018,22,1393
"71세이상","4월",528,17,786,695,21,987,852,34,1215,960,41,1374,908,36,1318,1120,38,1605,1243,42,1745,1061,31,1468,1114,19,1571,1296,33,1828
"71세이상","5월",663,38,952,857,50,1171,955,49,1372,998,40,1398,1089,50,1530,1144,48,1612,1349,45,1858,1256,39,1776,1201,36,1680,1453,43,2013
"71세이상","6월",642,47,904,735,46,968,823,50,1116,893,45,1243,1018,36,1350,1121,35,1598,1240,43,1765,1316,28,1843,1241,37,1689,1257,34,1740
"71세이상","7월",627,32,883,746,40,1071,897,41,1249,902,43,1266,930,33,1331,1161,42,1653,1238,38,1715,1191,34,1657,1276,49,1741,1324,30,1877
"71세이상","8월",666,36,931,735,28,1011,926,50,1314,915,46,1283,1030,53,1471,1138,33,1601,1401,41,1998,1174,42,1697,1191,32,1680,1306,34,1865
"71세이상","9월",700,44,987,797,44,1071,962,46,1315,905,35,1243,1167,65,1606,1192,51,1750,1269,44,1792,1299,37,1828,1323,25,1786,1483,39,2095
"71세이상","10월",790,43,1041,860,39,1217,1012,46,1421,1102,50,1562,1105,50,1643,1281,48,1761,1610,49,2335,1419,50,1974,1447,44,2055,1647,42,2396
"71세이상","11월",670,39,934,844,46,1181,872,40,1241,968,40,1394,1071,42,1485,1272,43,1812,1438,38,2013,1277,33,1787,1369,33,1867,1443,41,1994
"71세이상","12월",554,29,768,660,41,888,765,22,1091,855,28,1200,871,25,1261,1085,40,1476,1239,40,1775,1006,29,1370,1106,28,1494,1107,26,1687
"불명","전체",6661,17,7562,6613,9,7447,5977,4,6680,4962,1,5503,4559,1,5050,4207,4,4753,4091,1,4526,3470,0,3845,2953,1,3268,2714,0,3079
"불명","1월",526,0,630,446,1,498,435,0,489,372,0,420,390,0,453,369,0,438,305,0,329,305,0,355,244,0,268,231,0,267
"불명","2월",424,2,494,386,1,433,364,0,410,353,1,399,291,0,325,339,0,383,264,0,309,295,0,334,236,0,257,172,0,191
"불명","3월",527,1,592,555,0,644,474,0,530,398,0,431,372,0,402,321,0,360,316,0,361,233,0,272,211,0,232,183,0,204
"불명","4월",545,3,602,538,0,609,460,0,510,409,0,454,360,0,395,325,0,359,306,0,336,240,0,268,235,0,266,211,0,231
"불명","5월",643,1,721,638,1,733,517,0,579,414,0,461,376,0,409,361,1,406,367,1,400,306,0,337,234,0,256,259,0,290
"불명","6월",556,1,610,539,0,576,437,0,500,403,0,451,388,0,408,336,0,371,289,0,302,295,0,329,250,0,282,216,0,242
"불명","7월",501,1,553,574,2,642,499,0,546,464,0,509,362,1,406,322,1,353,345,0,369,290,0,310,214,0,234,215,0,233
"불명","8월",540,1,627,582,0,666,480,0,542,393,0,441,373,0,423,338,1,387,318,0,369,266,0,288,232,0,259,233,0,278
"불명","9월",538,0,609,564,1,628,585,1,631,457,0,509,412,0,459,350,1,395,376,0,412,296,0,326,238,1,253,280,0,305
"불명","10월",624,3,724,594,0,665,559,0,633,460,0,509,421,0,467,394,0,451,391,0,432,324,0,355,279,0,320,224,0,261
"불명","11월",625,1,688,619,0,692,620,1,694,417,0,451,402,0,444,399,0,447,432,0,483,322,0,349,270,0,295,243,0,302
"불명","12월",612,3,712,578,3,661,547,2,616,422,0,468,412,0,459,353,0,403,382,0,424,298,0,322,310,0,346,247,0,275
